"P1","P2","P3","P4","P5","Gold","Silver","Bronze","TotalScore","MedalCount","VT","FX","HB","PB","PH","SR"
"hong_asher","moldauer_yul","wiskus_shane","malone_brody","nedoroscik_stephen",2,2,1,197,4,"wiskus_shane, moldauer_yul, malone_brody, hong_asher","moldauer_yul, wiskus_shane, nedoroscik_stephen, malone_brody","moldauer_yul, wiskus_shane, nedoroscik_stephen, hong_asher","nedoroscik_stephen, hong_asher, malone_brody, wiskus_shane","moldauer_yul, nedoroscik_stephen, hong_asher, wiskus_shane","wiskus_shane, moldauer_yul, nedoroscik_stephen, malone_brody"
"blixt_landen_paul","walker_colt","moldauer_yul","malone_brody","phillips_curran",3,0,1,192,3,"malone_brody, phillips_curran, moldauer_yul, walker_colt","moldauer_yul, phillips_curran, walker_colt, malone_brody","phillips_curran, malone_brody, moldauer_yul, blixt_landen_paul","blixt_landen_paul, walker_colt, phillips_curran, malone_brody","malone_brody, phillips_curran, walker_colt, blixt_landen_paul","phillips_curran, moldauer_yul, walker_colt, blixt_landen_paul"
"karnes_joshua_andrew","malone_brody","phillips_curran","nedoroscik_stephen","whittenburg_donnell",3,1,0,192,4,"karnes_joshua_andrew, phillips_curran, malone_brody, nedoroscik_stephen","nedoroscik_stephen, whittenburg_donnell, phillips_curran, malone_brody","phillips_curran, karnes_joshua_andrew, nedoroscik_stephen, malone_brody","karnes_joshua_andrew, malone_brody, nedoroscik_stephen, phillips_curran","karnes_joshua_andrew, nedoroscik_stephen, malone_brody, whittenburg_donnell","phillips_curran, karnes_joshua_andrew, whittenburg_donnell, nedoroscik_stephen"
"hong_asher","moldauer_yul","richard_frederick","loos_riley","malone_brody",2,1,1,183,3,"loos_riley, moldauer_yul, hong_asher, malone_brody","loos_riley, moldauer_yul, hong_asher, richard_frederick","malone_brody, moldauer_yul, richard_frederick, loos_riley","hong_asher, richard_frederick, malone_brody, loos_riley","malone_brody, richard_frederick, moldauer_yul, hong_asher","moldauer_yul, richard_frederick, hong_asher, loos_riley"
"walker_colt","moldauer_yul","wiskus_shane","loos_riley","malone_brody",2,1,1,178,3,"moldauer_yul, walker_colt, wiskus_shane, malone_brody","loos_riley, malone_brody, wiskus_shane, walker_colt","wiskus_shane, malone_brody, loos_riley, walker_colt","moldauer_yul, wiskus_shane, loos_riley, malone_brody","moldauer_yul, walker_colt, loos_riley, wiskus_shane","moldauer_yul, loos_riley, malone_brody, wiskus_shane"
"walker_colt","hong_asher","moldauer_yul","malone_brody","whittenburg_donnell",2,1,2,177,3,"moldauer_yul, malone_brody, hong_asher, whittenburg_donnell","whittenburg_donnell, walker_colt, hong_asher, moldauer_yul","malone_brody, hong_asher, whittenburg_donnell, moldauer_yul","malone_brody, moldauer_yul, whittenburg_donnell, walker_colt","moldauer_yul, whittenburg_donnell, malone_brody, walker_colt","moldauer_yul, malone_brody, hong_asher, whittenburg_donnell"
"walker_colt","christopulos_taylor_troy","karnes_joshua_andrew","richard_frederick","malone_brody",1,3,0,174,4,"malone_brody, richard_frederick, walker_colt, karnes_joshua_andrew","karnes_joshua_andrew, walker_colt, malone_brody, christopulos_taylor_troy","richard_frederick, walker_colt, karnes_joshua_andrew, christopulos_taylor_troy","walker_colt, malone_brody, karnes_joshua_andrew, christopulos_taylor_troy","malone_brody, richard_frederick, walker_colt, christopulos_taylor_troy","malone_brody, walker_colt, karnes_joshua_andrew, richard_frederick"
"karnes_joshua_andrew","richard_frederick","malone_brody","phillips_curran","skirkey_ian",2,0,3,173,2,"richard_frederick, malone_brody, karnes_joshua_andrew, skirkey_ian","malone_brody, karnes_joshua_andrew, skirkey_ian, phillips_curran","skirkey_ian, phillips_curran, karnes_joshua_andrew, richard_frederick","karnes_joshua_andrew, phillips_curran, malone_brody, richard_frederick","karnes_joshua_andrew, phillips_curran, richard_frederick, malone_brody","richard_frederick, phillips_curran, karnes_joshua_andrew, skirkey_ian"
"blixt_landen_paul","hong_asher","malone_brody","phillips_curran","skirkey_ian",2,2,0,172,4,"phillips_curran, hong_asher, blixt_landen_paul, malone_brody","malone_brody, skirkey_ian, phillips_curran, hong_asher","phillips_curran, malone_brody, hong_asher, skirkey_ian","skirkey_ian, malone_brody, hong_asher, blixt_landen_paul","malone_brody, blixt_landen_paul, phillips_curran, hong_asher","phillips_curran, skirkey_ian, malone_brody, blixt_landen_paul"
"walker_colt","moldauer_yul","wiskus_shane","malone_brody","whittenburg_donnell",1,1,2,167,2,"wiskus_shane, moldauer_yul, malone_brody, walker_colt","wiskus_shane, walker_colt, whittenburg_donnell, moldauer_yul","whittenburg_donnell, wiskus_shane, malone_brody, moldauer_yul","moldauer_yul, walker_colt, malone_brody, wiskus_shane","moldauer_yul, malone_brody, whittenburg_donnell, walker_colt","whittenburg_donnell, malone_brody, moldauer_yul, walker_colt"
"walker_colt","malone_brody","nedoroscik_stephen","skirkey_ian","whittenburg_donnell",2,2,0,167,4,"walker_colt, skirkey_ian, malone_brody, whittenburg_donnell","nedoroscik_stephen, skirkey_ian, walker_colt, malone_brody","walker_colt, nedoroscik_stephen, malone_brody, skirkey_ian","walker_colt, nedoroscik_stephen, whittenburg_donnell, malone_brody","nedoroscik_stephen, whittenburg_donnell, malone_brody, walker_colt","whittenburg_donnell, malone_brody, skirkey_ian, nedoroscik_stephen"
"hong_asher","wiskus_shane","malone_brody","skirkey_ian","whittenburg_donnell",2,1,1,167,3,"hong_asher, whittenburg_donnell, wiskus_shane, skirkey_ian","malone_brody, whittenburg_donnell, wiskus_shane, skirkey_ian","skirkey_ian, whittenburg_donnell, hong_asher, malone_brody","hong_asher, skirkey_ian, malone_brody, wiskus_shane","skirkey_ian, whittenburg_donnell, hong_asher, wiskus_shane","wiskus_shane, hong_asher, malone_brody, skirkey_ian"
