"P1","P2","P3","P4","P5","Gold","Silver","Bronze","TotalScore","MedalCount","VT","BB","UB","FX"
"biles_simone","skinner_mykayla","lee_sunisa","miller_zoe","carey_jade",3,3,0,292,6,"biles_simone, lee_sunisa, skinner_mykayla, miller_zoe","biles_simone, carey_jade, skinner_mykayla, miller_zoe","miller_zoe, biles_simone, skinner_mykayla, carey_jade","biles_simone, miller_zoe, lee_sunisa, skinner_mykayla"
"biles_simone","skinner_mykayla","lee_sunisa","matthews_nola","carey_jade",3,2,1,291,5,"lee_sunisa, biles_simone, carey_jade, matthews_nola","biles_simone, lee_sunisa, skinner_mykayla, matthews_nola","lee_sunisa, biles_simone, skinner_mykayla, matthews_nola","matthews_nola, carey_jade, biles_simone, skinner_mykayla"
"biles_simone","skinner_mykayla","lee_sunisa","jones_shilese","roberson_joscelyn",3,3,0,290,6,"skinner_mykayla, jones_shilese, biles_simone, roberson_joscelyn","biles_simone, skinner_mykayla, lee_sunisa, jones_shilese","jones_shilese, biles_simone, skinner_mykayla, lee_sunisa","lee_sunisa, roberson_joscelyn, skinner_mykayla, biles_simone"
"biles_simone","skinner_mykayla","lee_sunisa","chiles_jordan","miller_zoe",3,2,0,288,5,"lee_sunisa, miller_zoe, chiles_jordan, biles_simone","chiles_jordan, lee_sunisa, skinner_mykayla, miller_zoe","lee_sunisa, biles_simone, chiles_jordan, miller_zoe","skinner_mykayla, miller_zoe, chiles_jordan, lee_sunisa"
"biles_simone","mc_callum","lee_sunisa","matthews_nola","miller_zoe",4,1,0,284,5,"mc_callum, miller_zoe, lee_sunisa, matthews_nola","mc_callum, miller_zoe, lee_sunisa, biles_simone","lee_sunisa, biles_simone, matthews_nola, miller_zoe","matthews_nola, mc_callum, lee_sunisa, biles_simone"
"biles_simone","skinner_mykayla","lee_sunisa","matthews_nola","jones_shilese",4,0,2,280,4,"lee_sunisa, biles_simone, skinner_mykayla, matthews_nola","matthews_nola, skinner_mykayla, lee_sunisa, jones_shilese","jones_shilese, biles_simone, matthews_nola, skinner_mykayla","biles_simone, skinner_mykayla, matthews_nola, jones_shilese"
"biles_simone","matthews_nola","miller_zoe","jones_shilese","carey_jade",3,1,2,269,4,"matthews_nola, miller_zoe, jones_shilese, biles_simone","carey_jade, matthews_nola, biles_simone, jones_shilese","jones_shilese, biles_simone, matthews_nola, miller_zoe","matthews_nola, miller_zoe, biles_simone, carey_jade"
"biles_simone","matthews_nola","miller_zoe","jones_shilese","roberson_joscelyn",3,2,1,268,5,"matthews_nola, biles_simone, roberson_joscelyn, miller_zoe","jones_shilese, matthews_nola, miller_zoe, roberson_joscelyn","roberson_joscelyn, biles_simone, miller_zoe, jones_shilese","miller_zoe, jones_shilese, roberson_joscelyn, biles_simone"
"biles_simone","mc_callum","lee_sunisa","blakely_skye","jones_shilese",2,3,1,267,5,"biles_simone, lee_sunisa, jones_shilese, blakely_skye","lee_sunisa, jones_shilese, mc_callum, blakely_skye","biles_simone, lee_sunisa, jones_shilese, mc_callum","lee_sunisa, jones_shilese, mc_callum, biles_simone"
"biles_simone","lee_sunisa","blakely_skye","miller_zoe","carey_jade",3,1,2,260,4,"carey_jade, lee_sunisa, biles_simone, miller_zoe","blakely_skye, miller_zoe, lee_sunisa, biles_simone","miller_zoe, biles_simone, carey_jade, lee_sunisa","blakely_skye, lee_sunisa, miller_zoe, carey_jade"
