"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","ID","FullName"
"","daria","w","SUI",2023-05-25,"2023 Varna World Challenge Cup Results","final","Varna, Bulgaria","VT",8,3.6,8.733,0,12.333,"_daria","Daria "
"","daria","w","SUI",2023-05-25,"2023 Varna World Challenge Cup Results","final","Varna, Bulgaria","VT",8,3.4,8.7,0,12.1,"_daria","Daria "
"","kate","w","AUS",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","BB",110,5.1,5.633,NA,10.733,"_kate","Kate "
"","kate","w","AUS",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","UB",17,5.6,8.466,NA,14.066,"_kate","Kate "
"","kate","w","AUS",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","final","Birmingham, England","BB",1,5.1,8.366,NA,13.466,"_kate","Kate "
"","kate","w","AUS",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","BB",5,5,7.95,NA,12.95,"_kate","Kate "
"","kate","w","AUS",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","final","Birmingham, England","UB",7,5.3,7.233,NA,12.533,"_kate","Kate "
"","kate","w","AUS",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","UB",5,5.6,7.9,NA,13.5,"_kate","Kate "
"aas","fredrick","m","NOR",2023-02-23,"FIG Apparatus World Cup 2023","qual","Cottbus, Germany","HB",39,4.6,6.7,NA,11.3,"aas_fredrick","Fredrick Aas"
"aas","fredrick","m","NOR",2023-02-23,"FIG Apparatus World Cup 2023","qual","Cottbus, Germany","PH",44,4.4,7.8,NA,12.2,"aas_fredrick","Fredrick Aas"
"aas","fredrick","m","NOR",2023-08-01,"2023 FISU World University Games","qual","Chengdu, China","FX",54,4,8.566,NA,12.566,"aas_fredrick","Fredrick Aas"
"aas","fredrick","m","NOR",2023-08-01,"2023 FISU World University Games","qual","Chengdu, China","HB",44,4.6,8.166,NA,12.766,"aas_fredrick","Fredrick Aas"
"aas","fredrick","m","NOR",2023-08-01,"2023 FISU World University Games","qual","Chengdu, China","PB",54,4.4,8.066,NA,12.466,"aas_fredrick","Fredrick Aas"
"aas","fredrick","m","NOR",2023-08-01,"2023 FISU World University Games","qual","Chengdu, China","PH",58,4.4,7.266,NA,11.666,"aas_fredrick","Fredrick Aas"
