"ID","Country","Gender"
"dauser_lukas","GER","m"
"hosseini_milan","GER","m"
"hoerr_carlo","GER","m"
"toba_andreas","GER","m"
"dunkel_nils","GER","m"
"osberger_benjamin","FRA","m"
"degouy_paul","FRA","m"
"bernard_cameron_lie","FRA","m"
"philippe_mathias","FRA","m"
"saladino_leo","FRA","m"
"mir_nicolau","ESP","m"
"abad_nestor","ESP","m"
"diallo_thierno","ESP","m"
"carrion_caro_daniel","ESP","m"
"zapata_rayderley","ESP","m"
"dolci_felix","CAN","m"
"zakutney_sam","CAN","m"
"clay_zachary","CAN","m"
"emard_william","CAN","m"
"kaji_chris","CAN","m"
"biles_simone","USA","w"
"skinner_mykayla","USA","w"
"lee_sunisa","USA","w"
"miller_zoe","USA","w"
"carey_jade","USA","w"
"achampong_ondine","GBR","w"
"morgan_amelie","GBR","w"
"kinsella_alice","GBR","w"
"downie_rebecca","GBR","w"
"fenton_georgia_mae","GBR","w"
"moors_brooklyn","CAN","w"
"turner_sydney","CAN","w"
"hajjar_maddison","CAN","w"
"stewart_ava","CAN","w"
"lee_cassandra","CAN","w"
"andrade_rebeca","BRA","w"
"saraiva_flavia","BRA","w"
"oliveira_lorrane","BRA","w"
"maia_luisa","BRA","w"
"barbosa_gabriela","BRA","w"
"d_amato_alice","ITA","w"
"d_amato_asia","ITA","w"
"esposito_manila","ITA","w"
"pierazzini_viola","ITA","w"
"ferrari_vanessa","ITA","w"
"tang_xijing","CHN","w"
"zhang_jin","CHN","w"
"lu_yufei","CHN","w"
"luo_huan","CHN","w"
"guan_chenchen","CHN","w"
"sugihara_aiko","JPN","w"
"miyata_shoko","JPN","w"
"hiraiwa_yuna","JPN","w"
"okamura_mana","JPN","w"
"yamamoto_nanami","JPN","w"
"boyer_marine","FRA","w"
"franceries_lea","FRA","w"
"charpy_lorette","FRA","w"
"petit_sheyen","FRA","w"
"mielle_silane","FRA","w"
"akhaimova_liliia","ROC","w"
"melnikova_angelina","ROC","w"
"urazova_vladislava","ROC","w"
"listunova_viktoriia","ROC","w"
"gerasimova_elena","ROC","w"
"godwin_georgia","AUS","w"
"brown_romi","AUS","w"
"pegoli_macy","AUS","w"
"whitehead_emily","AUS","w"
"pass_ruby","AUS","w"
"schaefer_betz_pauline","GER","w"
"voss_sarah","GER","w"
"seitz_elisabeth","GER","w"
"schlegel_jessica","GER","w"
"jauch_meolie","GER","w"
"derwael_nina","BEL","w"
"louon_noemie","BEL","w"
"pinxten_erika","BEL","w"
"brassart_maellyse","BEL","w"
"verkest_jutta","BEL","w"
"sun_wei","CHN","m"
"yang_jiaxing","CHN","m"
"you_hao","CHN","m"
"zhang_boheng","CHN","m"
"zou_jingyuan","CHN","m"
"doi_ryosuke","JPN","m"
"hashimoto_daiki","JPN","m"
"kamoto_yuya","JPN","m"
"tanigawa_wataru","JPN","m"
"tanigawa_kakeru","JPN","m"
"fraser_joe","GBR","m"
"hall_james","GBR","m"
"jarman_jake","GBR","m"
"regini_moran_giarnni","GBR","m"
"tulloch_courtney","GBR","m"
"abbadini_yumin","ITA","m"
"bartolini_nicola","ITA","m"
"casali_lorenzo_minh","ITA","m"
"macchini_carlo","ITA","m"
"levantesi_matteo","ITA","m"
"hong_asher","USA","m"
"malone_brody","USA","m"
"nedoroscik_stephen","USA","m"
"walker_colt","USA","m"
"whittenburg_donnell","USA","m"
"baumann_christian","SUI","m"
"frey_andrin","SUI","m"
"giubellini_luca","SUI","m"
"kratter_moreno","SUI","m"
"langenegger_florian","SUI","m"
"souza_bitencourt_lucas","BRA","m"
"guimaraes_yuri","BRA","m"
"mariano_arthur","BRA","m"
"soares_diogo","BRA","m"
"souza_caio","BRA","m"
"kim_jaeho","KOR","m"
"kim_hansol","KOR","m"
"lee_junho","KOR","m"
"lee_junghyo","KOR","m"
"ryu_sunghyun","KOR","m"
