ID,Score,Apparatus,Country
akhaimova_liliia,13.633,FX,ROC
bechdeju_laura,13.533,VT,ESP
archer_shannon,50.14516,AA,SCO
casabuena_laura,50.48075,AA,ESP
derwael_nina,13.232667,FX,BEL
bui_kim,13.9062,UB,GER
escalera_natalia,13.302079,FX,MEX
heron_hillary,13.500552,FX,PAN
hilton_halle,13.553453,BB,IRL
hribar_lucija,50.89566,AA,SLO
iliankova_anastasiia,14.898,UB,ROC
katsali_elvira,13.26556,FX,GRE
kovacs_zsofia,12.944222,FX,HUN
vaelen_lisa,13.683125,UB,BEL
lashchevska_anna,14.112966,BB,UKR
listunova_viktoriia,13.866,BB,ROC
alvarado_luciana,12.966,BB,CRC
mahmoud_jana,14.245546,UB,EGY
melnikova_angelina,14.61617,VT,ROC
moiszi_chiara,16.9678291,VT,GER
mokosova_barbora,49.21824,AA,SVK
molloy_kate,13.86134,VT,IRL
moreno_alexa,51.33821,AA,MEX
navas boyd_karla andrea,13.188307,UB,PAN
paulsson_tonya,50.60251,AA,SWE
petisco_alba,51.66921,AA,ESP
ponizilova_dominika,13.9784002,VT,CZE
popa_roxana,14.3637267,VT,ESP
steingruber_giulia,14.7491406,VT,SUI
szekely_zoja,14.027085,UB,HUN
teymurova_nazanin,13.779183,BB,AZE
tronrud_maria,12.9299,BB,NOR
trtnik_zala,49.14565,AA,SLO
urazova_vladislava,13.5165,FX,ROC
westlund_emelie,13.7953,UB,SWE
zwicker_christina,12.9344,BB,CRO
